hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,83,2016,June,19,26,1,9,2,0.0,0,BB,GBR,Offline TA/TO,Direct,0,0,1,C,C,0,No Deposit,8.0,,0,Transient,107.72,0,1,Check-Out,2016-07-24
City Hotel,0,135,2016,May,27,16,2,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,D,D,2,No Deposit,13.0,,0,Transient-Party,104.03,0,0,Check-Out,2016-08-12
Resort Hotel,1,129,2016,July,2,11,3,5,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,35.0,,0,Transient,50.03,0,3,Canceled,2016-05-25
Resort Hotel,0,10,2016,August,10,11,1,0,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.74,0,0,Check-Out,2016-04-15
City Hotel,1,192,2016,December,50,27,0,8,3,0.0,0,SC,PRT,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,17.0,,0,Transient,99.53,0,0,Canceled,2017-10-31
Resort Hotel,1,13,2016,November,34,6,3,5,2,0.0,0,BB,BEL,Groups,GDS,0,0,0,E,E,0,Non Refund,27.0,,0,Transient,161.26,0,1,Canceled,2016-05-04
Resort Hotel,0,102,2016,January,3,22,1,1,2,0.0,0,FB,BEL,Online TA,Direct,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,153.04,0,1,Check-Out,2017-08-19
Resort Hotel,0,8,2016,February,42,28,0,8,1,0.0,0,SC,ITA,Online TA,Direct,0,0,0,A,A,0,No Deposit,4.0,,0,Transient,95.43,0,1,Check-Out,2016-11-15
City Hotel,0,17,2017,December,21,24,2,9,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,128.88,0,0,Check-Out,2016-02-17
City Hotel,0,104,2015,May,30,21,3,0,2,3.0,0,FB,DEU,Online TA,Direct,0,1,0,A,A,1,Non Refund,,,0,Transient,1.71,0,2,Check-Out,2016-10-28
City Hotel,0,25,2016,July,45,26,1,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,2.0,,0,Transient,9.25,0,0,Check-Out,2016-09-03
Resort Hotel,1,24,2016,January,44,7,1,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,B,0,Non Refund,27.0,,0,Transient-Party,154.12,0,4,Canceled,2016-04-05
City Hotel,0,204,2016,February,8,28,1,3,2,0.0,0,SC,IRL,Groups,Corporate,0,1,0,A,A,1,No Deposit,1.0,,0,Transient,98.8,0,1,Check-Out,2016-02-01
Resort Hotel,0,13,2017,May,20,3,3,6,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,1,B,B,0,No Deposit,34.0,,0,Transient-Party,162.12,0,0,Check-Out,2016-12-10
City Hotel,0,71,2016,September,15,1,3,7,2,0.0,0,SC,BEL,Online TA,GDS,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,154.37,0,1,Check-Out,2017-04-28
City Hotel,1,138,2017,October,48,6,3,4,1,0.0,0,SC,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,35.93,1,0,Canceled,2016-12-23
City Hotel,1,70,2017,November,41,18,0,6,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,39.0,,0,Transient,134.39,0,0,Canceled,2016-02-23
City Hotel,0,39,2016,March,34,7,3,0,1,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,2,No Deposit,,,52,Transient-Party,69.7,0,0,Check-Out,2017-05-12
Resort Hotel,0,1,2016,March,4,18,1,9,1,0.0,0,BB,DEU,Corporate,TA/TO,0,0,0,C,C,0,No Deposit,4.0,,0,Transient,91.33,2,1,Check-Out,2016-01-08
City Hotel,0,88,2016,July,42,4,3,9,2,0.0,0,BB,GBR,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,25.0,,0,Transient,47.6,0,2,Check-Out,2016-12-24
Resort Hotel,0,87,2016,July,30,20,3,2,1,0.0,0,BB,ITA,Online TA,Corporate,0,0,0,D,D,0,Non Refund,31.0,,0,Transient-Party,149.72,0,1,Check-Out,2016-10-12
City Hotel,0,66,2016,January,15,7,2,4,2,0.0,0,SC,NLD,Groups,TA/TO,0,0,1,A,A,0,No Deposit,6.0,,0,Transient,126.98,0,1,Check-Out,2016-12-09
Resort Hotel,0,63,2016,June,24,15,3,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,9.0,,0,Transient-Party,77.9,0,1,Check-Out,2016-02-09
Resort Hotel,0,92,2016,November,24,4,0,3,2,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,17.0,,0,Transient-Party,69.95,0,0,Check-Out,2016-02-02
Resort Hotel,0,12,2016,February,16,28,2,2,2,0.0,0,Undefined,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,35.0,,0,Group,139.8,0,1,Check-Out,2016-12-29
City Hotel,1,35,2017,October,48,11,0,8,2,1.0,0,BB,ESP,Direct,TA/TO,0,0,0,C,C,0,No Deposit,34.0,,0,Transient,69.56,0,1,Canceled,2016-07-01
City Hotel,0,168,2017,June,48,17,2,6,2,2.0,0,SC,ESP,Online TA,GDS,0,0,0,E,E,0,No Deposit,34.0,,0,Transient,77.61,0,2,Check-Out,2016-11-14
City Hotel,0,5,2017,July,3,14,1,8,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,Non Refund,12.0,,0,Transient,72.0,0,0,Check-Out,2017-01-24
City Hotel,0,235,2016,August,49,17,3,7,4,0.0,0,BB,PRT,Online TA,TA/TO,0,2,0,D,D,1,No Deposit,32.0,,0,Transient,71.54,0,0,Check-Out,2016-10-04
Resort Hotel,0,112,2016,September,22,13,1,7,2,0.0,0,BB,PRT,Online TA,Direct,0,0,1,B,B,0,No Deposit,4.0,,0,Transient,135.56,0,1,Check-Out,2017-06-27
Resort Hotel,0,33,2017,August,42,3,3,1,3,0.0,0,BB,IRL,Groups,Direct,0,0,1,D,D,0,Non Refund,39.0,,0,Transient,115.22,0,0,Check-Out,2017-08-22
Resort Hotel,0,51,2017,February,41,24,1,8,2,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,79.66,0,1,Check-Out,2016-07-27
City Hotel,0,95,2016,April,32,18,0,7,3,2.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,C,C,1,Non Refund,30.0,,0,Transient-Party,57.6,0,1,Check-Out,2016-06-26
City Hotel,0,6,2016,November,39,8,2,1,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Contract,104.17,0,0,Check-Out,2016-09-08
City Hotel,0,57,2015,January,36,3,0,0,1,0.0,0,SC,DEU,Groups,TA/TO,0,0,0,A,A,0,Non Refund,18.0,,0,Transient,92.87,0,0,Check-Out,2017-03-25
City Hotel,0,75,2017,September,45,25,2,7,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,A,0,Non Refund,13.0,,0,Transient,140.0,0,1,Check-Out,2016-09-16
City Hotel,1,128,2016,July,23,10,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,1,B,F,0,No Deposit,13.0,,0,Transient,72.31,0,2,Canceled,2016-06-13
City Hotel,1,140,2016,February,39,26,3,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,4.0,,0,Transient,124.34,0,1,Canceled,2017-11-21
City Hotel,1,224,2016,February,51,22,1,3,1,0.0,0,SC,ITA,Corporate,TA/TO,0,0,0,E,E,0,Non Refund,28.0,,0,Transient,93.48,0,0,Canceled,2016-09-12
Resort Hotel,0,58,2016,December,50,27,1,8,2,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,117.98,0,1,Check-Out,2016-12-12
City Hotel,0,151,2016,January,8,19,2,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,36.0,,0,Transient,178.09,0,0,Check-Out,2017-01-19
Resort Hotel,1,23,2017,January,26,6,3,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,2,0,A,A,0,No Deposit,,,0,Transient,93.18,0,1,Canceled,2016-09-11
Resort Hotel,0,61,2016,January,27,1,0,3,2,0.0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,25,Transient,202.8,0,3,Check-Out,2017-01-27
City Hotel,1,80,2015,August,33,7,2,0,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,3.0,,0,Transient,95.31,0,1,Canceled,2016-02-14
Resort Hotel,0,45,2016,December,34,13,1,0,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,12.0,126.0,0,Transient-Party,58.1,0,3,Check-Out,2016-12-19
Resort Hotel,0,69,2017,March,45,18,3,4,1,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,26.0,114.0,0,Transient,175.51,0,0,Check-Out,2016-06-16
City Hotel,0,184,2016,October,28,26,2,0,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,1,A,A,1,No Deposit,31.0,,0,Transient,186.64,0,1,Check-Out,2017-08-18
City Hotel,0,83,2016,September,37,4,3,7,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,33.0,,0,Transient,62.85,0,1,Check-Out,2017-09-10
Resort Hotel,0,53,2016,March,47,18,1,4,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Refundable,2.0,,0,Transient,69.48,0,3,Check-Out,2016-12-30
City Hotel,0,173,2017,January,6,3,1,5,2,1.0,0,HB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,25.0,,0,Transient,141.83,0,2,Check-Out,2016-10-15
City Hotel,1,188,2017,June,34,14,3,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,11.0,,0,Transient,130.76,0,0,Canceled,2017-01-06
City Hotel,0,65,2017,January,20,3,0,7,1,1.0,0,SC,PRT,Groups,TA/TO,0,0,0,F,F,0,No Deposit,11.0,,0,Transient,68.56,0,1,Check-Out,2017-03-24
Resort Hotel,1,51,2015,February,48,11,2,4,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,33.0,,0,Transient,64.72,0,3,Canceled,2017-04-23
Resort Hotel,0,132,2017,June,29,17,3,0,1,0.0,0,SC,USA,Direct,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient,117.83,0,1,Check-Out,2017-01-21
Resort Hotel,0,213,2017,October,32,21,3,4,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,1,F,F,0,No Deposit,25.0,,0,Transient,98.89,1,2,Check-Out,2017-02-18
Resort Hotel,0,43,2016,December,40,23,2,1,3,0.0,0,SC,DEU,Online TA,TA/TO,0,0,1,B,B,0,Non Refund,1.0,,0,Transient,130.98,0,0,Check-Out,2017-02-17
City Hotel,1,47,2016,August,13,15,1,5,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,130.82,0,2,Canceled,2017-10-07
City Hotel,0,139,2016,April,29,8,3,5,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,39.0,,0,Transient,146.14,0,0,Check-Out,2016-07-02
City Hotel,1,54,2016,April,41,26,0,4,1,0.0,0,HB,ITA,Online TA,Direct,0,0,0,A,A,0,Non Refund,26.0,,0,Transient,13.04,0,2,Canceled,2017-10-01
City Hotel,0,56,2016,August,41,27,3,3,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,35.0,,0,Transient,188.89,0,1,Check-Out,2016-12-26
Resort Hotel,0,84,2015,March,12,28,0,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,20.0,,0,Transient-Party,128.33,0,0,Check-Out,2017-08-09
City Hotel,1,11,2017,July,44,23,2,6,3,0.0,0,FB,BEL,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,19.0,,0,Transient,85.52,0,0,Canceled,2017-05-02
City Hotel,0,68,2016,October,9,22,1,8,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,B,B,0,No Deposit,23.0,,0,Transient-Party,100.23,0,1,Check-Out,2017-10-17
Resort Hotel,0,7,2016,November,14,3,3,9,2,0.0,0,SC,FRA,Groups,Corporate,0,0,1,B,B,0,Non Refund,35.0,,0,Transient,134.2,0,1,Check-Out,2016-01-04
City Hotel,0,6,2016,January,45,17,2,0,1,0.0,0,BB,ESP,Groups,TA/TO,0,1,0,G,G,3,No Deposit,39.0,,0,Transient,115.58,1,2,Check-Out,2016-03-19
City Hotel,0,116,2016,April,33,12,3,6,2,0.0,0,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,Non Refund,22.0,109.0,0,Transient,116.21,0,1,Check-Out,2017-10-27
